User_Addr,Class,Eyes,Ears,Back,Mouth,Horn,Tail,Winrate
https://axie.zone//profile?ron_addr=0xbfdaad0103583dd36e5c17fa5ecd2d8a1efe6b22,Plant,Blossom,Leaf Bug,Pumpkin,Cute Bunny,Antenna,Hot Butt,0
https://axie.zone//profile?ron_addr=0xbfdaad0103583dd36e5c17fa5ecd2d8a1efe6b22,Bug,Topaz,Ear Breathing,Bone Sail,Cute Bunny,Antenna,Fish Snack,0
https://axie.zone//profile?ron_addr=0xbfdaad0103583dd36e5c17fa5ecd2d8a1efe6b22,Aquatic,Clear,Bubblemaker,Goldfish,Cute Bunny,Antenna,Nimo,0
https://axie.zone//profile?ron_addr=0x29de31bfdcac4552d2236ec91f3efe18cc13c193,Bug,Sleepless,Nimo,Sandal,Cute Bunny,Antenna,Fish Snack,0
https://axie.zone//profile?ron_addr=0x29de31bfdcac4552d2236ec91f3efe18cc13c193,Aquatic,Telescope,Inkling,Goldfish,Cute Bunny,Antenna,Nimo,0
https://axie.zone//profile?ron_addr=0x29de31bfdcac4552d2236ec91f3efe18cc13c193,Plant,Papi,Clover,Pumpkin,Zigzag,Antenna,Cattail,0
https://axie.zone//profile?ron_addr=0x68e671a43c6e30d12dbf6d7dfbad16eea5e9640a,Aquatic,Clear,Nimo,Goldfish,Cute Bunny,Oranda,Nimo,0
https://axie.zone//profile?ron_addr=0x68e671a43c6e30d12dbf6d7dfbad16eea5e9640a,Plant,Cucumber Slice,Clover,Scarab,Zigzag,Cactus,Hot Butt,0
https://axie.zone//profile?ron_addr=0x68e671a43c6e30d12dbf6d7dfbad16eea5e9640a,Bug,Neo,Sakura,Garish Worm,Pincer,Parasite,Fish Snack,0
https://axie.zone//profile?ron_addr=0xe35a756e6dabf3c24e18b5e2d0fd747e45584d23,Aquatic,Gero,Inkling,Anemone,Cute Bunny,Anemone,Gravel Ant,0
https://axie.zone//profile?ron_addr=0xe35a756e6dabf3c24e18b5e2d0fd747e45584d23,Bird,Lucas,Owl,Pigeon Post,Cute Bunny,Eggshell,Post Fight,0
https://axie.zone//profile?ron_addr=0xe35a756e6dabf3c24e18b5e2d0fd747e45584d23,Plant,Cucumber Slice,Hollow,Turnip,Cute Bunny,Cactus,Hot Butt,0
https://axie.zone//profile?ron_addr=0x61b8b4299b4e01730d1369f7f53884285d229d90,Bug,Kotaro?,Ear Breathing,Garish Worm,Pincer,Parasite,Fish Snack,0
https://axie.zone//profile?ron_addr=0x61b8b4299b4e01730d1369f7f53884285d229d90,Plant,Cucumber Slice,Rosa,Scarab,Cute Bunny,Beech,Carrot,0
https://axie.zone//profile?ron_addr=0x61b8b4299b4e01730d1369f7f53884285d229d90,Aquatic,Clear,Bubblemaker,Balloon,Cute Bunny,Oranda,Koi,0
https://axie.zone//profile?ron_addr=0x0b48c0421b9c1ce6f56b6a0226d9c42c381a3fad,Dusk,Topaz,Friezard,Garish Worm,Cute Bunny,Antenna,Pupae,0
https://axie.zone//profile?ron_addr=0x0b48c0421b9c1ce6f56b6a0226d9c42c381a3fad,Dusk,Papi,Clover,Pumpkin,Cute Bunny,Antenna,Cattail,0
https://axie.zone//profile?ron_addr=0x0b48c0421b9c1ce6f56b6a0226d9c42c381a3fad,Aquatic,Gero,Gill,Goldfish,Cute Bunny,Antenna,Nimo,0
https://axie.zone//profile?ron_addr=0xd0376e2c57fae94019cc274686fa6be850e35a9b,Plant,Confused,Clover,Pumpkin,Serious,Leaf Bug,Yam,0
https://axie.zone//profile?ron_addr=0xd0376e2c57fae94019cc274686fa6be850e35a9b,Dusk,Papi,Friezard,Bone Sail,Toothless Bite,Cerastes,Grass Snake,0
https://axie.zone//profile?ron_addr=0xd0376e2c57fae94019cc274686fa6be850e35a9b,Dusk,Sleepless,Pink Cheek,Furball,Tiny Turtle,Wing Horn,Grass Snake,0
https://axie.zone//profile?ron_addr=0x1756edecf8806d3038fb3203cf0e0b69f4e55102,Plant,Tricky,Clover,Scarab,Goda,Beech,Pupae,0
https://axie.zone//profile?ron_addr=0x1756edecf8806d3038fb3203cf0e0b69f4e55102,Bird,Mavis,Curly,Pigeon Post,Doubletalk,Eggshell,Post Fight,0
https://axie.zone//profile?ron_addr=0x1756edecf8806d3038fb3203cf0e0b69f4e55102,Aquatic,Telescope,Pink Cheek,Balloon,Risky Fish,Dual Blade,Hare,0
https://axie.zone//profile?ron_addr=0xb1af1cc14d63c19283985b2cc182d3e17b7ca0fd,Plant,Papi,Lotus,Pumpkin,Serious,Leaf Bug,Yam,0
https://axie.zone//profile?ron_addr=0xb1af1cc14d63c19283985b2cc182d3e17b7ca0fd,Dusk,Clear,Gill,Croc,Tiny Turtle,Cuckoo,Thorny Caterpillar,0
https://axie.zone//profile?ron_addr=0xb1af1cc14d63c19283985b2cc182d3e17b7ca0fd,Dusk,Clear,Tiny Fan,Tri Spikes,Tiny Turtle,Incisor,Thorny Caterpillar,0
https://axie.zone//profile?ron_addr=0x5f81e681e9904fa59c91da6049d76859a582e4ba,Plant,Papi,Hollow,Pumpkin,Serious,Leaf Bug,Yam,0
https://axie.zone//profile?ron_addr=0x5f81e681e9904fa59c91da6049d76859a582e4ba,Dusk,Telescope,Pink Cheek,Garish Worm,Tiny Turtle,Wing Horn,Grass Snake,0
https://axie.zone//profile?ron_addr=0x5f81e681e9904fa59c91da6049d76859a582e4ba,Dusk,Telescope,Pogona,Garish Worm,Toothless Bite,Cerastes,Grass Snake,0
https://axie.zone//profile?ron_addr=0x7cd377701b6e1f89c194b1fce442bc6fbc424aa3,Dusk,Chubby,Curved Spine,Snail Shell,Cute Bunny,Parasite,Nimo,0
https://axie.zone//profile?ron_addr=0x7cd377701b6e1f89c194b1fce442bc6fbc424aa3,Dusk,Sleepless,Earwing,Bidens,Cute Bunny,Parasite,Gila,0
https://axie.zone//profile?ron_addr=0x7cd377701b6e1f89c194b1fce442bc6fbc424aa3,Dusk,Chubby,Clover,Watering Can,Cute Bunny,Parasite,Carrot,0
https://axie.zone//profile?ron_addr=0x3db324e36f2d23fb58a73031de6709ad0c38ab91,Plant,Confused,Risky Bird,Pumpkin,Cute Bunny,Antenna,Carrot,0
https://axie.zone//profile?ron_addr=0x3db324e36f2d23fb58a73031de6709ad0c38ab91,Aquatic,Clear,Risky Bird,Goldfish,Cute Bunny,Antenna,Nimo,0
https://axie.zone//profile?ron_addr=0x3db324e36f2d23fb58a73031de6709ad0c38ab91,Bug,Cucumber Slice,Bubblemaker,Buzz Buzz,Cute Bunny,Antenna,Fish Snack,0
https://axie.zone//profile?ron_addr=0x736432e4e90273326a4c1cd71ed525131ca50279,Bug,Neo,Peace Maker,Sandal,Cute Bunny,Antenna,Fish Snack,0
https://axie.zone//profile?ron_addr=0x736432e4e90273326a4c1cd71ed525131ca50279,Plant,Confused,Rosa,Pumpkin,Cute Bunny,Antenna,Hot Butt,0
https://axie.zone//profile?ron_addr=0x736432e4e90273326a4c1cd71ed525131ca50279,Aquatic,Gero,Inkling,Goldfish,Cute Bunny,Antenna,Nimo,0
https://axie.zone//profile?ron_addr=0x91adedac95d4d216e66a087ce67c9366e349168a,Bug,Kotaro?,Ear Breathing,Garish Worm,Cute Bunny,Parasite,Fish Snack,0
https://axie.zone//profile?ron_addr=0x91adedac95d4d216e66a087ce67c9366e349168a,Plant,Papi,Leafy,Pumpkin,Cute Bunny,Leaf Bug,Carrot,0
https://axie.zone//profile?ron_addr=0x91adedac95d4d216e66a087ce67c9366e349168a,Aquatic,Clear,Gill,Goldfish,Cute Bunny,Arco,Nimo,0
https://axie.zone//profile?ron_addr=0x4d1714ec1a04d38dde75d9cd83ae8a54dc97acc5,Aquatic,Telescope,Gill,Ronin,Risky Fish,Arco,Hare,0
https://axie.zone//profile?ron_addr=0x4d1714ec1a04d38dde75d9cd83ae8a54dc97acc5,Plant,Cucumber Slice,Lotus,Pumpkin,Serious,Leaf Bug,Cattail,0
https://axie.zone//profile?ron_addr=0x4d1714ec1a04d38dde75d9cd83ae8a54dc97acc5,Plant,Papi,Clover,Bidens,Zigzag,Scaly Spoon,Gravel Ant,0
https://axie.zone//profile?ron_addr=0x2d252c8b44a87ddffa6963386066e1d5ac82a2ea,Plant,Robin,Leafy,Hero,Cute Bunny,Parasite,Hot Butt,0
